(-0.000754, 0.000080, -0.000087, 1.000000
),(12.623247, 1.789089, 0.706780, 0.707434
),(12.622892, 1.828825, 0.713721, 0.700430
),(12.619585, 1.912144, 0.728612, 0.684927
),(12.616345, 1.955483, 0.737185, 0.675691
),(12.612064, 1.997445, 0.746694, 0.665168
),(12.605884, 2.043561, 0.758035, 0.652213
),(12.599905, 2.079888, 0.766631, 0.642088
),(12.592365, 2.118890, 0.775841, 0.630928
),(12.572480, 2.203710, 0.788896, 0.614526
),(12.562068, 2.244403, 0.790904, 0.611941
),(12.551454, 2.285024, 0.791937, 0.610603
),(12.539717, 2.329501, 0.792568, 0.609783
),(12.530026, 2.366233, 0.792925, 0.609319
),(12.510418, 2.442961, 0.785692, 0.618617
),(12.501274, 2.482733, 0.779787, 0.626045
),(12.492552, 2.524576, 0.773219, 0.634139
),(12.484741, 2.566603, 0.766302, 0.642481
),(12.478306, 2.605834, 0.759621, 0.650366
),(12.467468, 2.688623, 0.744855, 0.667226
),(12.463065, 2.733239, 0.738658, 0.674081
),(12.459737, 2.771067, 0.736058, 0.676918
),(12.456284, 2.812949, 0.735001, 0.678066
),(12.452549, 2.859803, 0.734297, 0.678828
),(12.449343, 2.900680, 0.733990, 0.679160
),(12.442872, 2.984445, 0.733643, 0.679535
),(12.439354, 3.030311, 0.733585, 0.679597
),(12.436149, 3.072189, 0.733568, 0.679616
),(12.432947, 3.114067, 0.733559, 0.679626
),(12.429898, 3.153950, 0.733554, 0.679631
),(12.426351, 3.199777, 0.733559, 0.679626
),(12.422637, 3.245287, 0.737957, 0.674847
),(12.412763, 3.331213, 0.755421, 0.655240
),(12.406592, 3.370539, 0.764430, 0.644707
),(12.398935, 3.411532, 0.773972, 0.633220
),(12.389391, 3.455117, 0.784080, 0.620660
),(12.379687, 3.493708, 0.792943, 0.609296
),(12.368589, 3.532973, 0.801880, 0.597485
),(12.341525, 3.614175, 0.819994, 0.572372
),(12.327585, 3.650531, 0.827981, 0.560756
),(12.311834, 3.688275, 0.836240, 0.548364
),(12.294956, 3.725567, 0.844303, 0.535866
),(12.276953, 3.762369, 0.852178, 0.523252
),(12.235230, 3.838514, 0.868269, 0.496094
),(12.214378, 3.872721, 0.875418, 0.483366
),(12.192548, 3.906684, 0.882611, 0.470104
),(12.176937, 3.929696, 0.884965, 0.465658
),(12.169845, 3.940228, 0.885379, 0.464869
),(12.165576, 3.945356, 0.885112, 0.465377
),(12.126475, 3.998491, 0.894266, 0.447536
),(12.102285, 4.029789, 0.899934, 0.436027
),(12.075298, 4.062964, 0.905646, 0.424034
),(12.046841, 4.096342, 0.908878, 0.417063
),(12.021990, 4.125031, 0.910247, 0.414067
),(11.993687, 4.157383, 0.910930, 0.412561
),(11.936239, 4.222717, 0.911296, 0.411752
),(11.909124, 4.253474, 0.911352, 0.411628
),(11.880694, 4.285744, 0.911354, 0.411625
),(11.850278, 4.320261, 0.911376, 0.411575
),(11.823820, 4.350270, 0.911384, 0.411557
),(11.795387, 4.382536, 0.911401, 0.411520
